strategy,max_features,fit_seconds,val_accuracy,val_macro_f1,val_weighted_f1,val_f1_negative,val_f1_neutral,val_f1_positive
class_weight_balanced,10000,14.9,0.8532359436045523,0.8410342872808892,0.8520783243394764,0.7676688793440063,0.8900138057984354,0.865420176700226
class_weight_balanced,5000,16.5,0.8530660777985392,0.8406882820922096,0.8518257246347682,0.7665232694563943,0.8905210006885471,0.8650205761316873
class_weight_balanced,15000,14.5,0.8525564803804994,0.8401160376009543,0.8512736191311149,0.7659741277930223,0.8896535902729984,0.8647203947368421
random_oversample,7500,17.0,0.8537455410225921,0.8399919430858859,0.8519549057779496,0.7610264635124299,0.8918108419838524,0.8671385237613751
none,15000,16.0,0.8544250042466451,0.8390358142148466,0.8516918893635784,0.7569820758649437,0.8902131560852624,0.8699122106943336
is_unbalance,15000,15.4,0.8544250042466451,0.8390358142148466,0.8516918893635784,0.7569820758649437,0.8902131560852624,0.8699122106943336
none,10000,14.8,0.854255138440632,0.8389832208981322,0.8515789795622528,0.7573866000832293,0.8897547559019023,0.8698083067092651
is_unbalance,10000,13.7,0.854255138440632,0.8389832208981322,0.8515789795622528,0.7573866000832293,0.8897547559019023,0.8698083067092651
random_oversample,15000,19.1,0.8527263461865127,0.8389042512344443,0.8510225977615503,0.759392486011191,0.8902214022140221,0.86709886547812
none,5000,16.6,0.8544250042466451,0.8386588107520364,0.8517134928460175,0.7534189805221716,0.8929227941176471,0.8696346576162907
is_unbalance,5000,15.0,0.8544250042466451,0.8386588107520364,0.8517134928460175,0.7534189805221716,0.8929227941176471,0.8696346576162907
is_unbalance,7500,13.9,0.854255138440632,0.8385525082266022,0.8514764770952452,0.7551105548602419,0.889958734525447,0.8705882352941177
none,7500,14.6,0.854255138440632,0.8385525082266022,0.8514764770952452,0.7551105548602419,0.889958734525447,0.8705882352941177
random_oversample,10000,16.7,0.8518770171564464,0.8377153011068774,0.8500108514080856,0.7568218298555377,0.8903196137042998,0.8660044597607947
random_oversample,5000,16.4,0.8510276881263802,0.8371958961508886,0.8493766467964687,0.7564560985299961,0.8907834101382488,0.8643481797844214
class_weight_balanced,7500,14.6,0.8494988958722609,0.8358785340958729,0.8480700506356039,0.7545098039215686,0.8908798529749598,0.8622459453910901
class_weight_balanced,3000,15.7,0.8478002378121284,0.8351388729411563,0.8467407340485932,0.7588349514563106,0.8847123538849415,0.8618693134822167
random_oversample,3000,17.9,0.8440631900798369,0.8296518031717172,0.8425563818477145,0.74516001580403,0.8838605402909259,0.8599348534201955
none,3000,16.1,0.8459317139459827,0.8292751582343664,0.8430094121232053,0.7401247401247402,0.88507326007326,0.862627474505099
is_unbalance,3000,16.4,0.8459317139459827,0.8292751582343664,0.8430094121232053,0.7401247401247402,0.88507326007326,0.862627474505099
random_undersample,7500,10.6,0.83115338882283,0.820161111700897,0.8307433444409877,0.7481315396113603,0.8713369963369964,0.8410147991543341
random_undersample,10000,12.2,0.828435535926618,0.8175281692400187,0.8281062769877755,0.7447916666666666,0.8704853922245227,0.8373074488288669
random_undersample,15000,12.0,0.8275862068965517,0.8168778752127611,0.8272928056083518,0.7451708766716196,0.8692449355432781,0.8362178134233854
random_undersample,5000,10.6,0.8272464752845252,0.8164560536983897,0.8267851753495865,0.7457880943466866,0.8672931469172588,0.8362869198312236
random_undersample,3000,14.2,0.8263971462544589,0.8150470562870419,0.8261321292346269,0.7399702823179792,0.8677345537757437,0.8374363327674024
is_unbalance,2000,16.6,0.8274163410905385,0.806556128362432,0.823418429082867,0.6981450252951096,0.8725045372050817,0.8490188225871045
none,2000,14.4,0.8274163410905385,0.806556128362432,0.823418429082867,0.6981450252951096,0.8725045372050817,0.8490188225871045
class_weight_balanced,2000,17.0,0.8233395617462205,0.8059926199022137,0.8215998186972511,0.7052797478329393,0.8679417122040073,0.8447563996696945
random_oversample,2000,15.5,0.8214710378800747,0.8029171014346774,0.8194234287048082,0.6972111553784861,0.8664525011473153,0.8450876477782308
random_undersample,2000,13.1,0.8099201630711738,0.796510198578645,0.8097443579446174,0.7100149476831091,0.8517249257482293,0.8277907223045965
class_weight_balanced,1000,12.0,0.7767963308985901,0.7580996450344774,0.7751786496011707,0.6482275029216985,0.82506175611947,0.8010096760622634
is_unbalance,1000,12.9,0.7790045863767624,0.7563165205881068,0.7743312335729746,0.6411238825031929,0.8252340615247437,0.8025916177363839
